Date,Cluster,SolarMWh,OffshoreWindLt100MW_MWh,OffshoreWindGe100MW_MWh,OnshoreWindMWh,ThermalPowerMWh,TotalWindProduction,WD50M,WS50M,WD10M,WS10M,PS,wind_shear,wind_u_10m,wind_v_10m,wind_u_50m,wind_v_50m
2023-01-12,2,0.392,0.0,0.0,2841.263301,1342.140466,2841.263301,208.81,8.02,207.62,5.52,98.96,0.2321062270892136,-4.8909507603951115,-2.559101533622782,-7.027305130251667,-3.864891021275838
2023-01-12,3,0.0,291.0374,6731.598951,7222.550722,859.0054170000001,14245.187073,215.0,9.93,213.94,7.47,99.56,0.1768726067113889,-6.197281593774266,-4.170683498836455,-8.134179799789688,-5.695614012965888
2023-01-12,4,0.025,0.0,0.0,2031.309357,1685.3317419999998,2031.309357,222.69,8.89,221.38,6.29,99.11,0.2149607488059157,-4.719650332831605,-4.158004417482323,-6.534442882355979,-6.027699081509237
2023-01-12,5,0.006,1801.25098,2440.388913,7725.012790000001,911.063888,11966.652682999998,226.0,9.34,225.06,6.59,99.26,0.2166923626142772,-4.6549513674446565,-4.664710898515055,-6.488109180087034,-6.718633735163002
2023-01-12,6,0.068,8.54,0.0,4990.255683,3968.1024079999997,4998.795683,204.38,8.44,203.56,6.32,99.2,0.1797292695880517,-5.793177456296223,-2.526162100867881,-7.687386682389569,-3.483918195856426
2023-01-12,7,0.001,537.695258,0.0,6669.9900689999995,858.999047,7207.685327,213.38,8.41,212.44,5.91,99.06,0.2191918307884986,-4.987766024829341,-3.1702192481842815,-7.022686117637029,-4.627091926161416
2023-01-12,8,0.0,0.0,0.0,454.953903,165.705,454.953903,218.19,13.64,217.19,11.46,100.09,0.1082017142651677,-9.129442008821163,-6.927112573617624,-10.720560060665465,-8.43321955042465
2023-01-12,9,0.0,558.3515,0.0,267.654202,13995.343033,826.005702,215.5,10.08,214.38,7.62,99.62,0.1738351574690666,-6.288867219240657,-4.302853599503506,-8.206284425031697,-5.853485793566273
2023-01-12,10,0.04,38.122,5657.603905,2448.3972949999998,6345.15538,8144.123199999999,214.06,8.39,212.94,6.2,99.0,0.1879483676202108,-5.203290806444767,-3.3713149932285136,-6.950708358952248,-4.698909800027168
2023-01-13,1,0.032,0.0,0.0,4816.498723,1291.7341649999998,4816.498723,224.81,13.8,223.25,11.04,99.12,0.138646883853214,-8.041215507501699,-7.564420213203004,-9.790378865266682,-9.725660989081383
2023-01-13,2,0.25,0.0,0.0,6135.644019,609.245615,6135.644019,222.12,10.54,220.81,7.72,98.44,0.1934608204957893,-5.843121325506223,-5.0454269567019185,-7.817958284666312,-7.069025976697027
